IAGA,GEOLON,GEOLAT,AACGMLON,AACGMLAT,STATION-NAME,OPERATOR-NUM,OPERATORS
SON,66.44,25.12,138.91,19.49,Sonmiani,1,INTERMAGNET
AMU,210.13,61.24,-95.43,61.22,Anchorage,1,THEMIS
YKC,245.52,62.48,-59.64,69.53,Yellowknife,3,CANMOS,INTERMAGNET,THEMIS
CBB,254.97,69.12,-51.68,77.24,Cambridge Bay,2,CANMOS,INTERMAGNET
RES,265.11,74.69,-41.38,83.29,Resolute Bay,2,CANMOS,INTERMAGNET
BLC,263.99,64.32,-32.95,74.05,Baker Lake,2,CANMOS,INTERMAGNET
MEA,246.65,54.62,-54.40,62.10,Meanook,2,CANMOS,INTERMAGNET
SIT,224.67,57.06,-79.93,59.92,Sitka,2,INTERMAGNET,USGS
PBQ,282.26,55.28,-1.13,65.83,Poste de la Baleine,2,CANMOS,INTERMAGNET
MEK,30.97,62.77,108.45,58.90,Mekrijaervi,2,IMAGE,EMMA
STJ,307.32,47.60,31.24,53.68,St Johns,2,CANMOS,INTERMAGNET
ALE,297.50,82.50,100.15,87.20,Alert,2,CANMOS,INTERMAGNET
LRV,338.30,64.18,67.25,64.85,Leirvogur,1,INTERMAGNET
BOU,254.76,40.14,-40.51,49.14,Boulder,2,INTERMAGNET,USGS
FRN,240.28,37.09,-56.48,43.01,Fresno,2,INTERMAGNET,USGS
VIC,236.58,48.52,-63.97,53.83,Victoria,2,CANMOS,INTERMAGNET
NEW,242.88,48.27,-56.80,54.92,Newport,2,INTERMAGNET,USGS
LOV,17.83,59.35,96.06,55.74,Lovo,1,INTERMAGNET
LER,358.82,60.13,81.15,57.85,Lerwick,3,BGS,SAMNET,INTERMAGNET
VAL,349.75,51.93,70.52,49.81,Valentia,1,INTERMAGNET
HAD,355.52,50.98,74.79,48.12,Hartland,3,BGS,SAMNET,INTERMAGNET
ESK,356.80,55.32,77.39,52.86,Eskdalemuir,3,BGS,SAMNET,INTERMAGNET
MAB,5.68,50.30,82.81,46.66,Manhay,1,INTERMAGNET
DOU,4.60,50.10,81.86,46.48,Dourbes,1,INTERMAGNET
BFE,11.67,55.62,89.54,52.14,Brorfelde,3,DTUSpace,INTERMAGNET,TROMSOE
CLF,2.27,48.02,79.35,44.12,Chambon la foret,2,INTERMAGNET,BCMT
OTT,284.45,45.40,1.21,55.93,Ottawa,2,CANMOS,INTERMAGNET
WNG,9.07,53.75,86.73,50.29,Wingst,2,GFZ,INTERMAGNET
VRE,292.38,-17.28,3.22,-4.89,Villa Remedios,1,GFZ
SHE,354.27,-15.95,62.56,-22.89,St. Helena,1,GFZ
SMA,334.87,36.99,55.27,31.82,Santa Maria/Azoren,1,GFZ
PNL,303.83,-16.68,13.52,-7.38,Pantanal,1,GFZ
THY,17.54,46.90,92.02,42.49,Tihany,2,INTERMAGNET,EMMA
BEL,20.80,51.83,96.09,47.84,Belsk,2,INTERMAGNET,EMMA
FUR,11.28,48.17,86.91,44.01,Furstenfeldbruk,1,INTERMAGNET
NGK,12.68,52.07,89.20,48.33,Niemegk,2,GFZ,INTERMAGNET
BDV,14.02,49.07,89.49,44.99,Budkov,1,INTERMAGNET
FRD,282.63,38.20,-2.13,49.08,Fredericksburg,2,INTERMAGNET,USGS
CRP,275.09,10.44,-13.98,21.88,Chiripa,1,INTERMAGNET
HYB,78.60,17.40,150.86,10.37,Hyderabad,2,GFZ,INTERMAGNET
IPM,250.58,-27.20,-33.24,-19.83,Isla de Pascua,2,INTERMAGNET,BCMT
KMH,18.11,-26.54,84.80,-36.72,Keetmanshoop,2,GFZ,INTERMAGNET
NMP,39.25,-15.09,109.77,-25.18,Nampula,1,INTERMAGNET
DED,211.21,70.36,-101.79,70.57,Deadhorse,2,INTERMAGNET,USGS
KEP,323.51,-54.28,25.00,-44.07,King Edward Point,2,INTERMAGNET,BGS
CDP,256.30,31.00,-37.26,40.09,Chengdu,1,INTERMAGNET
DMC,235.83,-75.25,-15.83,-65.18,Dome Concordia,2,INTERMAGNET,BCMT
LON,16.66,45.41,90.92,40.72,Lonjsko Polje,1,INTERMAGNET
SPG,29.72,60.54,106.51,56.62,Saint Petersburg,1,INTERMAGNET
TAB,291.18,76.54,28.31,84.53,Thule Air Base,1,DTUSpace
ROE,8.55,55.17,86.80,51.83,Roemoe,2,DTUSpace,TROMSOE
THL,290.77,77.47,30.94,85.35,Qaanag,2,DTUSpace,INTERMAGNET
SVS,294.90,76.02,34.33,83.61,Savissivik,1,DTUSpace
KUV,302.82,74.57,43.51,81.20,Kullorsuaq,1,DTUSpace
UPN,303.85,72.78,41.35,79.45,Upernavik,1,DTUSpace
UMQ,307.87,70.68,43.52,76.84,Uummannaq,1,DTUSpace
GDH,306.47,69.25,40.09,75.73,Godhavn,2,DTUSpace,INTERMAGNET
ATU,306.43,67.93,38.76,74.47,Attu,1,DTUSpace
STF,309.28,67.02,41.46,73.06,Kangerlussuaq,1,DTUSpace
SKT,307.10,65.42,37.63,71.89,Maniitsoq,1,DTUSpace
GHB,308.27,64.17,38.22,70.43,Nuuk,1,DTUSpace
FHB,310.32,62.00,39.35,67.82,Paamiut,1,DTUSpace
NAQ,314.56,61.16,43.54,66.08,Narssarssuaq,2,DTUSpace,INTERMAGNET
NRD,343.33,81.60,104.81,81.11,Nord,1,DTUSpace
DMH,341.37,76.77,86.17,77.30,Danmarkshavn,1,DTUSpace
DNB,339.78,74.30,79.74,75.15,Daneborg,1,DTUSpace
SCO,338.03,70.48,72.73,71.56,Ittoqqortoormiit,1,DTUSpace
AMK,322.37,65.60,54.24,69.15,Tasiilaq,1,DTUSpace
MCN,322.38,73.93,64.54,77.42,Magic1 north,1,DTUSpace
MCE,326.10,72.40,65.25,75.35,Magic1 east,1,DTUSpace
MCW,317.41,72.00,56.25,76.43,Magic1 west,1,DTUSpace
MCG,321.65,72.60,61.44,76.28,Magic2 GISP,1,DTUSpace
MCR,313.71,66.48,46.07,71.69,Magic2 Raven,1,DTUSpace
TDC,347.69,-37.10,48.53,-39.13,Tristan de Cunha,4,DTUSpace,INTERMAGNET,TROMSOE,GFZ
SUM,321.70,72.30,61.00,75.99,Summit,2,DTUSpace,THEMIS
HOV,353.20,61.50,77.47,59.91,Faroe Island,2,DTUSpace,THEMIS
GIM,265.36,56.38,-28.33,66.78,Gillam,3,CARISMA,THEMIS,CANOPUS
TAL,266.45,69.54,-31.56,78.95,Taloyoak,1,CARISMA
CNL,248.75,65.75,-57.69,73.18,Contwoyto Lake,1,CARISMA
DAW,220.89,64.05,-87.68,66.14,Dawson City,1,CARISMA
